Date,^GSPC,^GDAXI,^N225,^BVSP,^NSEI,^HSI,VIX
2010-11-08,1223.25,6750.5,9732.919921875,72657.0,6273.2001953125,24964.369140625,18.290000915527344
2010-11-09,1213.4000244140625,6787.81005859375,9694.490234375,71679.0,6301.5498046875,24710.599609375,19.079999923706055
2010-11-10,1218.7099609375,6719.83984375,9830.51953125,71638.0,6275.7001953125,24500.609375,18.469999313354492
2010-11-11,1213.5400390625,6723.41015625,9861.4599609375,71195.0,6194.25,24700.30078125,18.639999389648438
2010-11-12,1199.2099609375,6734.60986328125,9724.8095703125,70367.0,6071.64990234375,24222.580078125,20.610000610351562
2010-11-15,1197.75,6790.169921875,9827.509765625,,6121.60009765625,24027.1796875,20.200000762939453
2010-11-16,1178.3399658203125,6663.240234375,9797.099609375,69192.0,5988.7001953125,23693.01953125,22.579999923706055
2010-11-17,1178.5899658203125,6700.06982421875,9811.66015625,69709.0,,23214.4609375,21.760000228881836
2010-11-18,1196.68994140625,6832.10986328125,10013.6298828125,70781.0,5998.7998046875,23637.390625,18.75
2010-11-19,1199.72998046875,6843.5498046875,10022.3896484375,70898.0,5890.2998046875,23605.7109375,18.040000915527344
2010-11-22,1197.8399658203125,6822.0498046875,10115.1904296875,69633.0,6010.0,23524.01953125,18.3700008392334
2010-11-23,1180.72998046875,6705.0,,67953.0,5934.75,22896.140625,20.6299991607666
2010-11-24,1198.3499755859375,6823.7998046875,10030.1103515625,69629.0,5865.75,23023.859375,19.559999465942383
2010-11-25,,6879.66015625,10079.759765625,69362.0,5799.75,23054.6796875,
2010-11-26,1189.4000244140625,6848.97998046875,10039.5595703125,68226.0,5751.9501953125,22877.25,22.219999313354492
2010-11-29,1187.760009765625,6697.97021484375,10125.990234375,67908.0,5830.0,23166.220703125,21.530000686645508
2010-11-30,1180.550048828125,6688.490234375,9937.0400390625,67705.0,5862.7001953125,23007.990234375,23.540000915527344
2010-12-01,1206.0699462890625,6866.6298828125,9988.0498046875,69346.0,5960.89990234375,23249.80078125,21.360000610351562
2010-12-02,1221.530029296875,6957.60986328125,10168.51953125,69527.0,6011.7001953125,23448.779296875,19.389999389648438
2010-12-03,1224.7099609375,6947.72021484375,10178.3203125,69766.0,5992.7998046875,23320.51953125,18.010000228881836
2010-12-06,1223.1199951171875,6954.3798828125,10167.23046875,69552.0,5992.25,23237.689453125,18.020000457763672
2010-12-07,1223.75,7001.91015625,10141.099609375,69338.0,5976.5498046875,23428.150390625,17.989999771118164
2010-12-08,1228.280029296875,6975.8701171875,10232.330078125,68175.0,5903.7001953125,23092.51953125,17.739999771118164
2010-12-09,1233.0,6964.16015625,10285.8798828125,67879.0,5766.5,23171.80078125,17.25
2010-12-10,1240.4000244140625,7006.169921875,10211.9501953125,68342.0,5857.35009765625,23162.91015625,17.610000610351562
2010-12-13,1240.4599609375,7029.39013671875,10293.8896484375,69126.0,5907.64990234375,23317.609375,17.549999237060547
